state_name,state,state_fips,year,Population,Employment,Unemployment,Unemploymentrate,MarginallyFoodInsecure,FoodInsecure,VeryLowFoodSecure,GrossStateProduct,Numberoflowincomeuninsuredc,PercentLowIncomeUnisuredChil,Personalincome,Workerscompensation,AFDCTANFRecipients,AFDCTANFCaseloads,FoodStampSNAPRecipients,FoodStampSNAPCaseloads,AFDCTANFBenefitfor2Personf,AFDCTANFBenefitfor3personf,AFDCTANFbenefitfor4personf,FSSNAPBenefitfor1personfam,FSSNAPBenefitfor2personfam,FSSNAPBenefitfor3personfam,FSSNAPBenefitfor4personfam,AFDCTANF_FS2PersonBenefit,AFDCTANF_FS3PersonBenefit,AFDCTANF_FS4PersonBenefit,ChildonlyAFDCTANFcases,SSIFederal,SSIState,TotalSSI,SSI_FSBenefit,NumberofPoorthousands,PovertyRate,GovernorisDemocrat1Yes,NumberinLowerHouseDemocrat,NumberinLowerHouseRepublican,FractionofStateHousethatis,NumberinUpperHouseDemocrat,NumberinUpperHouseRepublican,FractionofStateSenatethatis,EITCPhaseInRateNoDependents,EITCPhaseInRate1Dependent,EITCPhaseInRate2Dependents,EITCPhaseInRate3Dependents,EITCMaximumCreditNoDependent,EITCMaximumCredit1Dependent,EITCMaximumCredit2Dependents,EITCMaximumCredit3Dependents,EITCPhaseOutRateNoDependent,EITCPhaseOutRate1Dependent,EITCPhaseOutRate2Dependents,EITCPhaseOutRate3Dependents,StateEITCRate,WisconsinEITCRate2Dependents,WisconsinEITCRate3Dependents,RefundableStateEITC1Yes,FederalMinimumWage,StateMinimumWage,SSIrecipients,SSIrecipientsAged,SSIrecipientsBlind,SSIrecipientsDisabled,Medicaidbeneficiaries,WICparticipation,NSLPFreeParticipation,NSLPReducedParticipation,NSLPTotalParticipation,SBPFreeParticipation,SBPReducedParticipation,SBPTotalParticipation,BW
NE,28,31,1980,1569825,739672,30249,3.9,,,,18294,,,14758200,2347,35226,12563,66152.91,24196.92,250,310,370,63,115,165,209,340,432,518,,238,75,313,332,199,13,0,,,,,,,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
NV,29,32,1980,800493,403078,26506,6.2,,,,11633,,,9682800,110826,11787,4266,32332.92,13071.08,211,262,314,63,115,165,209,312,398,478,,238,47,285,312,70,8.300000000000001,0,26,14,.65,15,5,.75,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.75,,,,,,,,,,,,,
NH,30,33,1980,920610,445531,21127,4.5,,,,9263,,,9278200,2980,22312,8108,50152.83,19785.08,292,346,392,63,115,165,209,369,457,533,,238,46,284,311,63,7,1,174,224,.4371859296482412,12,12,.5,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
NJ,31,34,1980,7364823,3333840,257680,7.2,,,,88334,,,87046700,51824,459451,148144,605219.3,202276.8,273,360,414,63,115,165,209,356,467,548,,238,23,261,295,659,9,1,44,36,.55,27,13,.675,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
NM,32,35,1980,1302894,523176,42881,7.6,,,,15731,,,11323000,11444,53442,18359,184653.2,60047.67,178,220,267,63,115,165,209,289,369,445,,238,0,238,279,268,20.6,1,41,29,.5857142857142857,33,9,.7857142857142857,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.9,,,,,,,,,,,,,
NY,33,36,1980,17558072,7378756,595598,7.5,,,,235746,,,193258500,280540,1099742,362737,1759038,704234.7,333,394,476,63,115,165,209,398,490,592,,238,63,301,323,2391,13.8,1,86,64,.5733333333333334,25,35,.4166666666666667,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
NC,34,37,1980,5881766,2671472,182511,6.4,,,,58791,,,49247000,7517,197730,77411,581766.9,200103.9,167,192,210,63,115,165,209,281,349,406,,238,0,238,279,877,15,1,105,15,.875,45,5,.9,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.9,,,,,,,,,,,,,
ND,35,38,1980,652717,288400,14955,4.9,,,,7645,,,5269900,17222,12956,4775,25324.42,8869.583000000001,270,334,408,63,115,165,209,354,448,544,,238,0,238,279,99,15.5,1,29,71,.29,15,35,.3,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
OH,36,39,1980,10797630,4662318,425069,8.4,,,,121228,,,107184500,570025,513105,180228,864858.8,328324.8,216,263,327,63,115,165,209,316,399,487,,238,0,238,279,1046,9.800000000000001,0,62,37,.6262626262626263,18,15,.5454545454545454,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
OK,37,40,1980,3025290,1310022,60705,4.4,,,,37608,,,29278800,60620,89219,30148,209045.3,82410.16,218,282,349,63,115,165,209,317,412,503,,238,79,317,334,406,13.9,1,75,26,.7425742574257426,39,9,.8125,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
OR,38,41,1980,2633105,1188148,110033,8.5,,,,30001,,,27030400,121943,101935,38532,197032.7,83938,374,473,569,63,115,165,209,426,546,657,,238,12,250,288,309,11.5,0,34,25,.576271186440678,23,7,.7666666666666667,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.9,,,,,,,,,,,,,
PA,39,42,1980,11863895,4999664,436264,8,,,,127181,,,119088400,74406,628972,214986,979642.9,419115.9,273,332,395,63,115,165,209,356,447,535,,238,32,270,302,1142,9.800000000000001,0,100,102,.495049504950495,27,23,.54,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
RI,40,44,1980,947154,435133,33863,7.2,,,,9626,,,9390600,8924,52329,18117,86612.34,35338.08,276,340,389,63,115,165,209,358,453,531,,238,42,280,309,97,10.7,1,84,16,.84,45,5,.9,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.9,,,,,,,,,,,,,
SC,41,45,1980,3121820,1309817,94775,6.7,,,,27607,,,24966900,12651,152963,55463,426323.3,137639.6,99,129,158,63,115,165,209,214,294,367,,238,0,238,279,534,16.8,1,108,16,.8709677419354839,43,2,.9555555555555556,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
SD,42,46,1980,690768,318952,16097,4.8,,,,6760,,,5712800,1306,20299,7474,43143.92,14915.33,280,321,361,63,115,165,209,361,439,511,,238,15,253,290,127,18.8,0,22,48,.3142857142857143,11,24,.3142857142857143,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.3,,,,,,,,,,,,,
TN,43,47,1980,4591120,1926451,154751,7.4,,,,44972,,,38078000,19386,161520,60852,624309.7,225465.6,97,122,148,63,115,165,209,212,287,357,,238,0,238,279,884,19.6,0,60,38,.6122448979591837,20,12,.625,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
TX,44,48,1980,14229191,6404883,347634,5.1,,,,203073,,,143140300,71582,308167,100680,1167109,361809.6,86,116,140,63,115,165,209,201,281,349,,238,0,238,279,2247,15.7,0,128,22,.8533333333333334,27,4,.8709677419354839,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
UT,45,49,1980,1461037,590777,39050,6.2,,,,15311,,,12319300,30949,37448,12088,54167.17,18588.5,278,360,429,63,115,165,209,359,467,559,,238,10,248,286,148,10,1,25,50,.3333333333333333,10,19,.3448275862068966,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.6,,,,,,,,,,,,,
VT,46,50,1980,511456,234772,15474,6.2,,,,4856,,,4505300,218,22517,7567,45650.08,17783,410,492,553,63,115,165,209,452,559,646,,238,41,279,308,62,12,0,69,79,.4662162162162162,10,20,.3333333333333333,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
VA,47,51,1980,5346818,2428172,132000,5.2,,,,58669,,,56726500,24894,165811,60761,384077.1,138931.9,258,310,360,63,115,165,209,345,432,511,,238,0,238,279,647,12.4,0,74,25,.7474747474747475,31,9,.775,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.65,,,,,,,,,,,,,
WA,48,53,1980,4132156,1823883,160792,8.1,,,,52682,,,46241900,214011,153832,54822,248245.2,105160.5,376,458,536,63,115,165,209,428,535,634,,238,43,281,309,538,12.7,1,49,49,.5,30,19,.6122448979591837,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3.1,,,,,,,,,,,,,
WV,49,54,1980,1949644,711819,74406,9.5,,,,18408,,,15632700,115390,77244,27056,208815.1,67643.5,164,206,249,63,115,165,209,279,359,433,,238,0,238,279,297,15.2,1,74,26,.74,26,8,.7647058823529411,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,2.2,,,,,,,,,,,,,
WI,50,55,1980,4705767,2186318,169845,7.2,,,,52899,,,47282000,6789,212513,77989,214797.6,75448.84,377,444,529,63,115,165,209,428,525,629,,238,100,338,349,403,8.5,0,60,39,.6060606060606061,21,10,.6774193548387096,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,3,,,,,,,,,,,,,
WY,51,56,1980,469557,226853,9087,3.9,,,,10428,,,5506300,25782,6848,2697,14341.58,5498.917,280,315,340,63,115,165,209,361,435,497,,238,20,258,293,49,10.4,1,20,42,.3225806451612903,11,19,.3666666666666666,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.1,1.6,,,,,,,,,,,,,
AL,1,1,1981,3918531,1500534,177118,10.6,,,,40257,,,34465500,22389,171185,61234,604863,211595.2,89,118,148,70,128,183,233,217,301,381,,265,0,265,316,935,24.1,1,100,4,.96,35,0,1,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
AK,2,2,1981,418491,177803,18354,9.4,,,,21824,,,7152300,5994,16375,6774,32383.08,11164.92,457,514,572,108,197,293,359,620,756,863,,265,261,526,580,36,9,0,22,16,.58,10,10,.5,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.85,,,,,,,,,,,,,
AZ,3,4,1981,2810107,1192377,79301,6.2,,,,34269,,,30247100,62833,61829,22410,210232.9,72087.41,156,202,244,70,128,183,233,284,384,464,,265,0,265,316,323,11.7,1,17,43,.2833333333333333,14,16,.4666666666666667,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
AR,4,5,1981,2293201,933766,89397,8.699999999999999,,,,22891,,,19702600,15306,84267,29638,305371.1,107036.1,133,161,188,70,128,183,233,261,344,421,,265,0,265,316,541,24.1,0,93,7,.93,34,1,.9714285714285714,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,2.7,,,,,,,,,,,,,
CA,5,6,1981,24285933,10953612,876177,7.4,,,,368808,,,319557200,406260,1522765,520037,1604859,594380.3,374,463,550,70,128,183,233,450,567,678,,265,174,439,437,3216,13.3,1,48,32,.6,23,17,.575,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
CO,6,8,1981,2977898,1450918,88396,5.7,,,,43974,,,36882900,118890,81537,29518,175167.2,66879.91,249,311,375,70,128,183,233,362,461,556,,265,61,326,358,285,9.6,1,26,39,.4,13,22,.3714285714285714,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,1.9,,,,,,,,,,,,,
CT,7,9,1981,3128836,1497809,98628,6.2,,,,45642,,,43243000,19489,141659,50000,175017.9,68301.84,331,406,477,70,128,183,233,420,527,627,,265,160,425,428,254,8.199999999999999,1,83,68,.5496688741721855,22,13,.6285714285714286,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.37,,,,,,,,,,,,,
DE,8,10,1981,595975,265348,22571,7.8,,,,8839,,,7094100,2379,32893,11951,101147.6,41967.33,197,266,312,70,128,183,233,325,429,511,,265,0,265,316,72,12.3,0,16,25,.3902439024390244,12,9,.5714285714285714,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,2,,,,,,,,,,,,,
DC,9,11,1981,636893,279230,27330,8.9,,,,21740,,,9094100,9442,80860,28811,55521.17,22251.5,225,286,349,70,128,183,233,346,443,537,,265,15,280,326,111,18.1,.,,,,,,,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
FL,10,12,1981,10192774,4224775,302650,6.7,,,,112167,,,115731200,70887,277360,102949,957066,371221.3,150,195,230,70,128,183,233,278,378,454,,265,0,265,316,1704,16.6,1,81,39,.675,27,13,.675,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
GA,11,13,1981,5568345,2434001,166074,6.4,,,,63751,,,53458800,21093,236251,91021,653544.3,227058.6,137,164,193,70,128,183,233,265,347,426,,265,0,265,316,881,16.3,1,156,23,.8715083798882681,51,5,.9107142857142857,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,1.25,,,,,,,,,,,,,
HI,12,15,1981,978195,425803,24374,5.4,,,,14640,,,12434100,10358,61542,20133,103968.1,40430.17,390,468,546,95,175,250,318,534,663,786,,265,15,280,375,108,11.3,1,39,12,.7647058823529411,17,8,.68,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
ID,13,16,1981,962204,397016,33334,7.7,,,,10677,,,9237600,13454,20018,7321,64322.67,23453.58,260,323,367,70,128,183,233,370,469,550,,265,74,339,367,171,17.7,1,14,56,.2,12,23,.3428571428571429,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
IL,14,17,1981,11443458,5114483,477726,8.5,,,,159649,,,138877000,25027,708556,231117,984399,380057.9,250,302,368,70,128,183,233,363,454,551,,265,100,365,386,1371,12.1,0,86,91,.4858757062146893,30,29,.5084745762711864,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,2.3,,,,,,,,,,,,,
IN,15,18,1981,5480435,2359393,258566,9.9,,,,64724,,,56407000,15429,172154,61077,405015.2,139130.3,195,255,315,70,128,183,233,323,422,514,,265,0,265,316,685,12.6,0,35,63,.3571428571428572,15,35,.3,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
IA,16,19,1981,2907983,1332833,93758,6.6,,,,38272,,,31681000,3858,109574,40463,162948.3,63725.42,292,360,419,70,128,183,233,392,495,586,,265,0,265,316,368,13.1,0,42,58,.42,21,29,.42,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
KS,17,20,1981,2384849,1135918,51162,4.3,,,,31978,,,27049200,9712,74351,28525,108069.3,43354.5,290,345,390,70,128,183,233,391,485,566,,265,0,265,316,267,11.7,1,53,72,.424,16,24,.4,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
KY,18,21,1981,3670394,1521899,143678,8.6,,,,41068,,,33237700,66586,175193,67639,519406.5,171772,162,188,235,70,128,183,233,290,371,458,,265,0,265,316,708,19.3,1,75,24,.7575757575757576,29,9,.7631578947368421,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,2.15,,,,,,,,,,,,,
LA,19,22,1981,4283303,1699027,155514,8.4,,,,77201,,,43084400,10474,215972,71218,573949.2,201056.6,125,173,213,70,128,183,233,253,356,442,,265,0,265,316,938,22,0,95,10,.9047619047619048,39,0,1,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
ME,20,23,1981,1133033,472455,37520,7.4,,,,11255,,,10651600,2763,56614,21140,140399.6,55248.33,207,280,352,70,128,183,233,333,439,539,,265,10,275,323,179,16,1,84,67,.5562913907284768,16,17,.4848484848484849,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
MD,21,24,1981,4261905,2013470,157849,7.3,,,,53117,,,54043000,48008,221304,81348,346283.3,145356.8,211,270,326,70,128,183,233,336,432,521,,265,0,265,316,442,10.7,1,125,15,.8928571428571429,40,7,.851063829787234,0,.1,.1,.1,0,500,500,500,0,.125,.125,.125,0,,,0,3.35,3.35,,,,,,,,,,,,,
